epoch,step,train_loss,train_acc,val_loss,val_acc,bleu,lr
1,100,7.019233703613281,0.12323943661971831,,,,0.0002
1,200,6.732813358306885,0.1288416075650118,,,,0.0002
1,300,6.351019859313965,0.15746971736204576,,,,0.0002
1,400,6.300613880157471,0.18810511756569848,,,,0.0002
1,500,6.030202865600586,0.193006993006993,,,,0.0002
1,600,6.2054123878479,0.21771771771771772,,,,0.0002
1,700,6.035845756530762,0.19444444444444445,,,,0.0002
1,800,5.820879936218262,0.21686746987951808,,,,0.0002
1,900,6.017760276794434,0.22630331753554503,,,,0.0002
1,1000,5.83674430847168,0.23337856173677068,,,,0.0002
1,1100,5.707383632659912,0.24871134020618557,,,,0.0002
1,1200,5.916351795196533,0.21501272264631044,,,,0.0002
1,1300,5.771482467651367,0.22744599745870395,,,,0.0002
1,1400,5.611587047576904,0.24623803009575923,,,,0.0002
1,1500,5.500828742980957,0.25862068965517243,,,,0.0002
1,1600,5.435412406921387,0.25842696629213485,,,,0.0002
1,1700,5.299707412719727,0.28444444444444444,,,,0.0002
1,1800,5.790271759033203,0.2569558101472995,,,,0.0002
1,1900,5.327157020568848,0.3019145802650957,,,,0.0002
1,2000,5.213293075561523,0.27972027972027974,,,,0.0002
1,2100,5.384549140930176,0.28346456692913385,,,,0.0002
1,2200,5.200296878814697,0.30161054172767204,,,,0.0002
1,2300,5.227001667022705,0.30896551724137933,,,,0.0002
1,2400,5.2432990074157715,0.3015427769985975,,,,0.0002
1,2500,5.411428451538086,0.28475033738191635,,,,0.0002
1,2600,5.46142053604126,0.2749731471535983,,,,0.0002
1,2700,5.10546875,0.3140376266280753,,,,0.0002
1,2800,4.954034805297852,0.3159509202453988,,,,0.0002
1,2900,4.982479095458984,0.32275132275132273,,,,0.0002
1,3000,5.3240156173706055,0.25753424657534246,,,,0.0002
1,3100,5.274107456207275,0.26017130620985013,,,,0.0002
1,3200,5.233529090881348,0.2935560859188544,,,,0.0002
1,3300,5.088354110717773,0.30943396226415093,,,,0.0002
1,3400,5.153265953063965,0.31678486997635935,,,,0.0002
1,3500,5.000973701477051,0.32554945054945056,,,,0.0002
1,3600,5.11126708984375,0.31543624161073824,,,,0.0002
1,3700,5.032644271850586,0.3125,,,,0.0002
1,3800,5.213421821594238,0.3072139303482587,,,,0.0002
1,3900,4.670607566833496,0.38596491228070173,,,,0.0002
1,4000,5.215414524078369,0.31140939597315437,,,,0.0002
1,4100,4.8163323402404785,0.3328671328671329,,,,0.0002
1,4200,4.737174987792969,0.34794520547945207,,,,0.0002
1,4300,4.8744940757751465,0.3178294573643411,,,,0.0002
1,4400,4.894925594329834,0.33172496984318456,,,,0.0002
1,4500,4.920781135559082,0.3492268041237113,,,,0.0002
1,4600,4.772732734680176,0.3446153846153846,,,,0.0002
1,4700,4.77282190322876,0.3425,,,,0.0002
1,4800,4.852730751037598,0.3225,,,,0.0002
1,4900,4.987489700317383,0.3155680224403927,,,,0.0002
1,5000,4.796872138977051,0.33902759526938236,,,,0.0002
1,5100,4.7473955154418945,0.3546734955185659,,,,0.0002
1,5200,4.785456657409668,0.3504043126684636,,,,0.0002
1,5300,5.019168853759766,0.3522727272727273,,,,0.0002
1,5400,4.70132303237915,0.3419354838709677,,,,0.0002
1,5500,4.81380558013916,0.34582829504232165,,,,0.0002
1,5600,4.630620002746582,0.3669849931787176,,,,0.0002
1,5700,4.996649265289307,0.33247089262613194,,,,0.0002
1,5800,4.709244728088379,0.37668711656441717,,,,0.0002
1,5900,4.760035991668701,0.35294117647058826,,,,0.0002
1,6000,4.665711402893066,0.35805626598465473,,,,0.0002
1,6100,5.017284393310547,0.32387096774193547,,,,0.0002
1,6200,4.771780490875244,0.38077858880778587,,,,0.0002
1,6300,4.351533889770508,0.40028490028490027,,,,0.0002
1,6400,4.716527462005615,0.37610619469026546,,,,0.0002
1,6500,4.682101249694824,0.3424657534246575,,,,0.0002
1,6600,4.515832901000977,0.37252124645892354,,,,0.0002
1,6700,4.806267738342285,0.3624161073825503,,,,0.0002
1,6800,4.388697624206543,0.42257597684515197,,,,0.0002
1,6900,4.746885299682617,0.37681159420289856,,,,0.0002
1,7000,4.720745086669922,0.37626262626262624,,,,0.0002
1,7100,4.522065162658691,0.3831258644536653,,,,0.0002
1,7200,4.763277053833008,0.3616504854368932,,,,0.0002
1,7300,4.5577802658081055,0.3745072273324573,,,,0.0002
1,7400,4.686248779296875,0.34668335419274093,,,,0.0002
1,7500,4.648116588592529,0.3492462311557789,,,,0.0002
1,7600,4.28154182434082,0.39154929577464787,,,,0.0002
1,7700,4.459629535675049,0.38697318007662834,,,,0.0002
1,7800,4.590970993041992,0.39655172413793105,,,,0.0002
1,7900,4.522442817687988,0.41076487252124644,,,,0.0002
1,8000,4.488973140716553,0.38781575037147104,,,,0.0002
1,8095,,,4.4329144561942995,0.4087555999877596,,
2,8100,4.628790378570557,0.362962962962963,,,,0.0002
2,8200,4.306959629058838,0.4034440344403444,,,,0.0002
2,8300,4.552981853485107,0.36658653846153844,,,,0.0002
2,8400,4.721364974975586,0.3573923166472643,,,,0.0002
2,8500,4.67848014831543,0.36732329084588644,,,,0.0002
2,8600,4.386786460876465,0.37283621837549935,,,,0.0002
2,8700,4.649833679199219,0.3667953667953668,,,,0.0002
2,8800,4.413893699645996,0.3952180028129395,,,,0.0002
2,8900,4.109110355377197,0.4083694083694084,,,,0.0002
2,9000,4.318068504333496,0.4198047419804742,,,,0.0002
2,9100,4.467334747314453,0.38987043580683156,,,,0.0002
2,9200,4.692406177520752,0.3574144486692015,,,,0.0002
2,9300,4.3791069984436035,0.4002770083102493,,,,0.0002
2,9400,4.649594783782959,0.38171428571428573,,,,0.0002
2,9500,4.377254962921143,0.3988439306358382,,,,0.0002
2,9600,4.723984241485596,0.36964504283965727,,,,0.0002
2,9700,4.286309242248535,0.41081081081081083,,,,0.0002
2,9800,4.369152069091797,0.40974967061923584,,,,0.0002
2,9900,4.509296417236328,0.4056372549019608,,,,0.0002
2,10000,4.509575843811035,0.3768707482993197,,,,0.0002
2,10100,4.292945384979248,0.4304878048780488,,,,0.0002
2,10200,4.074038028717041,0.4652482269503546,,,,0.0002
2,10300,4.571196556091309,0.3856613102595797,,,,0.0002
2,10400,4.307244300842285,0.41595092024539876,,,,0.0002
2,10500,4.098821640014648,0.4167852062588905,,,,0.0002
2,10600,4.264403820037842,0.39724454649827784,,,,0.0002
2,10700,4.135749816894531,0.4332874828060523,,,,0.0002
2,10800,4.464361190795898,0.39898348157560354,,,,0.0002
2,10900,4.331790924072266,0.4302030456852792,,,,0.0002
2,11000,4.326140403747559,0.40591397849462363,,,,0.0002
2,11100,4.367579460144043,0.401673640167364,,,,0.0002
2,11200,4.251389026641846,0.4263803680981595,,,,0.0002
2,11300,4.065547943115234,0.4546583850931677,,,,0.0002
2,11400,4.456052780151367,0.37828162291169454,,,,0.0002
2,11500,4.405244827270508,0.40222772277227725,,,,0.0002
2,11600,4.157577991485596,0.4053691275167785,,,,0.0002
2,11700,4.03128719329834,0.4581005586592179,,,,0.0002
2,11800,4.412144660949707,0.3880597014925373,,,,0.0002
2,11900,4.058938026428223,0.46164978292329956,,,,0.0002
2,12000,4.234438419342041,0.4052631578947368,,,,0.0002
2,12100,4.184130668640137,0.4348993288590604,,,,0.0002
2,12200,4.100531578063965,0.4330042313117066,,,,0.0002
2,12300,4.202939033508301,0.4375821287779238,,,,0.0002
2,12400,4.048463344573975,0.45689655172413796,,,,0.0002
2,12500,4.2118401527404785,0.43882978723404253,,,,0.0002
2,12600,4.03464412689209,0.4175824175824176,,,,0.0002
2,12700,4.0435075759887695,0.4753846153846154,,,,0.0002
2,12800,4.456133842468262,0.38974358974358975,,,,0.0002
2,12900,4.354053020477295,0.4222766217870257,,,,0.0002
2,13000,4.207887172698975,0.43376623376623374,,,,0.0002
2,13100,4.797037124633789,0.3544857768052516,,,,0.0002
2,13200,4.408276557922363,0.3987878787878788,,,,0.0002
2,13300,4.169145107269287,0.43648648648648647,,,,0.0002
2,13400,4.209001541137695,0.41951837769328265,,,,0.0002
2,13500,4.249465465545654,0.41169590643274856,,,,0.0002
2,13600,4.119065284729004,0.43359375,,,,0.0002
2,13700,4.17822265625,0.4267425320056899,,,,0.0002
2,13800,4.276772975921631,0.3771353482260184,,,,0.0002
2,13900,4.166377067565918,0.4394904458598726,,,,0.0002
2,14000,4.221956253051758,0.4370771312584574,,,,0.0002
2,14100,4.078341484069824,0.45,,,,0.0002
2,14200,4.3604044914245605,0.42739079102715466,,,,0.0002
2,14300,3.875448226928711,0.4629080118694362,,,,0.0002
2,14400,3.9407856464385986,0.45544554455445546,,,,0.0002
2,14500,4.209843635559082,0.41291108404384896,,,,0.0002
2,14600,4.104951858520508,0.4153846153846154,,,,0.0002
2,14700,3.8316972255706787,0.46248294679399726,,,,0.0002
2,14800,4.1406426429748535,0.448559670781893,,,,0.0002
2,14900,4.114823341369629,0.44638069705093836,,,,0.0002
2,15000,4.071613311767578,0.4423076923076923,,,,0.0002
2,15100,4.156558036804199,0.4246913580246914,,,,0.0002
2,15200,4.2626800537109375,0.42285041224970554,,,,0.0002
2,15300,4.101504325866699,0.4353448275862069,,,,0.0002
2,15400,3.875296115875244,0.4919454770755886,,,,0.0002
2,15500,4.069546222686768,0.4520367936925099,,,,0.0002
2,15600,4.170670032501221,0.39953271028037385,,,,0.0002
2,15700,4.11790657043457,0.4329501915708812,,,,0.0002
2,15800,3.8010764122009277,0.47572815533980584,,,,0.0002
2,15900,3.8106303215026855,0.4933920704845815,,,,0.0002
2,16000,3.847055435180664,0.4738292011019284,,,,0.0002
2,16100,3.9490771293640137,0.4665825977301387,,,,0.0002
2,16190,,,3.938647698606684,0.479127533193529,,
3,16200,3.8732833862304688,0.4830287206266319,,,,0.0002
3,16300,4.147854804992676,0.4140197152245345,,,,0.0002
3,16400,4.124252796173096,0.42178447276940906,,,,0.0002
3,16500,4.0836076736450195,0.4747340425531915,,,,0.0002
3,16600,3.907604217529297,0.4773809523809524,,,,0.0002
3,16700,3.9530487060546875,0.48599439775910364,,,,0.0002
3,16800,3.8660125732421875,0.45965770171149145,,,,0.0002
3,16900,3.819826602935791,0.48172323759791125,,,,0.0002
3,17000,4.235868453979492,0.398876404494382,,,,0.0002
3,17100,4.108190536499023,0.46116504854368934,,,,0.0002
3,17200,4.0372395515441895,0.43843031123139375,,,,0.0002
3,17300,3.8912253379821777,0.4828571428571429,,,,0.0002
3,17400,3.96679425239563,0.4483260553129549,,,,0.0002
3,17500,3.9776761531829834,0.44129032258064516,,,,0.0002
3,17600,4.111591339111328,0.4199743918053777,,,,0.0002
3,17700,4.127779006958008,0.4396751740139211,,,,0.0002
3,17800,3.9758193492889404,0.41704545454545455,,,,0.0002
3,17900,3.8390069007873535,0.479136690647482,,,,0.0002
3,18000,3.7170519828796387,0.5177514792899408,,,,0.0002
3,18100,3.863053798675537,0.4791666666666667,,,,0.0002
3,18200,3.864501476287842,0.4931506849315068,,,,0.0002
3,18300,4.281601428985596,0.4241645244215938,,,,0.0002
3,18400,3.95503568649292,0.4624203821656051,,,,0.0002
3,18500,3.484152317047119,0.5224625623960066,,,,0.0002
3,18600,3.741912364959717,0.4783216783216783,,,,0.0002
3,18700,3.6320738792419434,0.5107604017216643,,,,0.0002
3,18800,3.847090482711792,0.46656534954407297,,,,0.0002
3,18900,4.121634483337402,0.44815256257449343,,,,0.0002
3,19000,3.8104758262634277,0.4664764621968616,,,,0.0002
3,19100,3.9137773513793945,0.4731182795698925,,,,0.0002
3,19200,3.9835662841796875,0.43757292882147025,,,,0.0002
